Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score
Wii Sports,Wii,2006,Sports,Nintendo,41.36,28.96,3.77,8.45,82.53,76,8
Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,85,9.2
Mario Kart Wii,Wii,2008,Racing,Nintendo,15.68,12.76,3.79,3.29,35.52,82,8.3
Wii Sports Resort,Wii,2009,Sports,Nintendo,15.61,10.93,3.28,2.95,32.77,80,8
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1,31.37,80,8.5
Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,89,8.9
New Super Mario Bros.,DS,2006,Platform,Nintendo,11.28,9.14,6.5,2.88,29.8,89,8.5
Wii Play,Wii,2006,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,58,6.6
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.44,6.94,4.7,2.24,28.32,87,8.4
Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,27.31,80,7.8
Nintendogs,DS,2005,Simulation,Nintendo,9.05,10.95,1.93,2.74,24.67,76,8.2
Mario Kart DS,DS,2005,Racing,Nintendo,9.71,7.47,4.13,1.9,23.21,91,8.6
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9,6.18,7.2,0.71,23.1,84,8.7
Wii Fit,Wii,2007,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,80,7.7
Wii Fit Plus,Wii,2009,Sports,Nintendo,9.01,8.49,2.53,1.77,20.8,80,7.4
Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,86,9
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Puzzle,Nintendo,4.74,9.2,4.16,2.04,20.15,77,7.9
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.38,4.46,6.04,1.36,19.85,83,8.3
Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,19.14,85,8.4
Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,18.28,88,9.1
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97,8.2
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95,9
Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,94,8.7
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,11.52,9.71,0,1.5,22.45,98,7.5
The Legend of Zelda: Twilight Princess,Wii,2006,Adventure,Nintendo,7.26,3.82,3.16,1.33,15.57,95,7.9
Wii Sports Resort Extra,Wii,2009,Sports,Nintendo,7.8,7.9,2.8,1.8,20.3,80,7.5
Pokemon Crystal,GB,2000,Role-Playing,Nintendo,6.38,3.29,4.22,0.44,14.33,82,8.2
The Legend of Zelda: Ocarina of Time,N64,1998,Adventure,Nintendo,7.6,4.02,2.45,0.62,14.69,99,9.1
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.32,2.52,4.22,0.48,13.54,79,8
Elder Scrolls IV: Oblivion,PS3,2006,Action,Bethesda,5.22,5.36,1.08,2.62,14.28,92,7.8
Halo 3,X360,2007,Shooter,Microsoft,9.6,1.97,0.01,0.91,12.49,94,8.8
The Sims,PC,2000,Simulation,Electronic Arts,3.42,2.15,0.22,0.36,6.15,81,7.8
Sonic The Hedgehog,Genesis,1991,Platform,Sega,6.32,4.23,0.45,0.79,11.79,82,8.1
Mortal Kombat,Genesis,1993,Fighting,Midway,2.98,1.85,0.01,0.22,5.06,72,7.5
Final Fantasy VII,PS,1997,Role-Playing,Square,3.48,2.37,1.63,0.3,7.78,92,8.9
